scale: 1e+06
unit: millions
baseunit: 1
var: Abundance
nboot: 500
seed: 1
bootstrapMethod: SweptAreaLength
acousticMethod: PSU~Stratum
bioticMethod: PSU~Stratum
"age"	"Ab.Sum.5%"	"Ab.Sum.50%"	"Ab.Sum.95%"	"Ab.Sum.mean"	"Ab.Sum.sd"	"Ab.Sum.cv"
NA	2514.15581405488	3641.445948313	5056.00982233195	3706.02895187346	781.550115503085	0.210886133285062
1	14.8970620864	16.8658639879	19.11367157811	16.9155931116358	1.34139507416335	0.0792993225428578
2	2.97845326805	3.5439068958	4.29365003617	3.5788311053312	0.410074542409858	0.114583373828117
3	11.874596250745	13.38639155435	14.86042232435	13.379866904946	0.908383992145005	0.0678918556214645
4	7.477615636515	8.30035026445	9.269377573155	8.3268176203076	0.532885224114507	0.0639962646491616
5	7.94311950232	8.86924675105	9.72686316428	8.870662340615	0.565788902934493	0.0637820357950032
6	8.2052518509	8.9187446979	9.632076292255	8.8972142202352	0.429226069980389	0.048242748725122
7	4.58103199947	5.1813975107	5.766366562565	5.1750372968078	0.36573016560853	0.070671986428799
8	2.560147123535	3.04570029285	3.50340877647	3.0460911592238	0.288922553466336	0.094850264934277
9	0.655416138375	0.8485368165	1.052647942925	0.8502413013552	0.122143923985173	0.143657951913754
10	0.051096293065	0.1378336555	0.2485089402	0.1418642107228	0.0606012094630272	0.427177574627619
11	0.0072600773	0.0403999951	0.0808262802	0.0406284067206	0.0224617624511953	0.552858560407351
13	0	0.02256438035	0.04780805143	0.0219110285296	0.0149623923253633	0.682870377588637
14	0	0.0205286716	0.0454021708	0.0203960551984	0.012834813688928	0.629279219146988
