scale: 1e+06
unit: millions
baseunit: 1
var: Abundance
nboot: 500
seed: 1
bootstrapMethod: SweptAreaLength
acousticMethod: PSU~Stratum
bioticMethod: PSU~Stratum
"age"	"Ab.Sum.5%"	"Ab.Sum.50%"	"Ab.Sum.95%"	"Ab.Sum.mean"	"Ab.Sum.sd"	"Ab.Sum.cv"
NA	1049.79084583304	1222.05654857405	1407.7702535477	1226.79288254057	105.601006218456	0.0860789198579036
1	18.9555833942	22.3658600467	25.698811483855	22.2850836397816	2.02258778290296	0.0907597124424693
2	6.50352192397	7.9734902806	9.56514631565	8.021744519087	0.970949770304203	0.121039727455034
3	9.18599528635	10.83002457315	12.88213095864	10.8757950472716	1.13921896449913	0.10474810894721
4	10.102928526145	11.56434573065	13.14958851744	11.610248748535	0.962104669625799	0.0828668438087684
5	8.26854489479	9.2394813155	10.446552125165	9.285406353711	0.654645266004052	0.0705025974164735
6	7.25602347641	7.98238296185	8.769348585935	7.9982819895616	0.46517729631449	0.0581596519004436
7	2.528396363825	2.92483086495	3.345797584665	2.9269068502796	0.256509695293864	0.0876384895096203
8	0.43844452202	0.56754716485	0.710622013275	0.5681941848062	0.0848122155746283	0.149266250592755
9	0.170306304695	0.2816169932	0.383221697735	0.2819115341334	0.0645801604965759	0.229079525586267
10	0.08336760049	0.164354019	0.256774834185	0.1664192005364	0.0530488448943836	0.318766372650496
11	0	0.0363631851	0.073119395815	0.0371273328422	0.0213215616172981	0.574282071591832
15	0	0.0071466386	0.0142932772	0.0068035999472	0.00654756428247327	0.962367619096697
