scale: 1e+06
unit: millions
baseunit: 1
var: Abundance
nboot: 500
seed: 1
bootstrapMethod: SweptAreaLength
acousticMethod: PSU~Stratum
bioticMethod: PSU~Stratum
"age"	"Ab.Sum.5%"	"Ab.Sum.50%"	"Ab.Sum.95%"	"Ab.Sum.mean"	"Ab.Sum.sd"	"Ab.Sum.cv"
NA	862.7634685599	989.9084669389	1170.37668449149	995.816620543077	95.2280820587741	0.0956281308167367
1	24.21651082346	27.62719344715	32.60278928014	27.9629649721052	2.63208305216343	0.0941274666255564
2	18.187207459255	21.13822837885	24.48119529469	21.2330542780724	1.90216455730749	0.0895850654548497
3	25.987499833565	29.3737059638	33.25700715527	29.4572064347018	2.21424254058699	0.0751681102379934
4	15.697879078915	18.19084667125	20.72456863954	18.1927987213076	1.5325868485125	0.0842414007866487
5	13.719678083105	15.2650797827	16.85348953554	15.276921616904	0.935011915744214	0.0612042098003316
6	10.49462647296	11.6939858759	13.06479400115	11.7172755298674	0.824047892603137	0.0703276022231136
7	6.778327633385	7.83745370175	8.96500106582999	7.8355543659354	0.685889212481025	0.0875355055237556
8	9.706747140645	10.83170726925	12.01398704774	10.8543526550622	0.720694128485814	0.0663967858230312
9	8.55122016995	9.81341459335	11.350654101695	9.8551868719498	0.871254069135241	0.0884056365907213
10	2.427756604865	3.0268243561	3.812232192495	3.06864350911	0.423355739926756	0.137961851440196
11	0.409889756325	0.697980269	1.10430147343	0.7126728500206	0.211439358097787	0.296685019068251
12	0.20147728471	0.31518225985	0.43503211828	0.3166177690476	0.0705845553211773	0.222933019626468
13	0.02011424316	0.090425035	0.20232977315	0.0975893730924	0.0573979198645315	0.588157481144855
14	0	0.0199524908	0.03317753376	0.0153854016408	0.0132499393643323	0.861202045528356
15	0	0.0393410179	0.0781633595649999	0.0402343376322	0.0241101670107648	0.599243542447911
16	0	0.0316961619	0.065030538	0.0298178972634	0.0279307512618034	0.936710963052616
