scale: 1e+06
unit: millions
baseunit: 1
var: Abundance
nboot: 500
seed: 1
bootstrapMethod: SweptAreaLength
acousticMethod: PSU~Stratum
bioticMethod: PSU~Stratum
"age"	"Ab.Sum.5%"	"Ab.Sum.50%"	"Ab.Sum.95%"	"Ab.Sum.mean"	"Ab.Sum.sd"	"Ab.Sum.cv"
NA	0.0313645606	0.1254582424	0.232730370445	0.1324026674736	0.0623739915374266	0.471093163964113
1	379.326380812005	486.72222747915	643.282560411495	498.173265834111	85.7005942984905	0.172029693634801
2	124.40672792557	148.7571161128	173.43957022028	149.340124569976	15.0633511852744	0.100866068169217
3	146.677631919765	181.73436121635	216.9781117744	180.933358589548	22.6216837337838	0.125027711363617
4	68.950807808875	85.0513240997	102.40572253817	85.6966956533048	10.2185861770141	0.119241309120651
5	58.92029679165	68.53975007435	79.566020140055	68.8648913047898	6.502938352106	0.0944303872248136
6	39.435088772405	47.51243415465	55.105171792925	47.3614179514248	4.77359511508355	0.100790798112917
7	24.09756103419	31.2946892441	39.97236017963	31.6236990932368	5.15834359600309	0.163116388781548
8	36.689344126345	46.9367435052	57.6848791321	47.295199376129	6.52801528429679	0.138027016915202
9	25.21600850945	31.22933950395	37.067433928025	31.331866647987	3.56735652924257	0.113857133675493
10	6.6511843764	9.2860646503	12.467864305605	9.5086081698472	1.89608736397738	0.199407455866156
11	0.558626681785	0.9785376056	1.395923119855	0.977706994776	0.261785081171823	0.267754125285561
12	0.47389025326	0.975538937	1.501426461925	0.9772319509582	0.306156267298601	0.313289252360617
13	0.02716658882	0.1434173694	0.32441373709	0.1548479580404	0.0920433809076833	0.594411331427884
14	0	0.02036719	0.0835028304549998	0.0221685351046	0.0286733823626963	1.2934270229135
15	0	0.04143943015	0.111472080755	0.046206867909	0.0328218210694124	0.710323433608437
16	0	0.0316961619	0.145213587	0.0432049621748	0.0474152499091954	1.09744917070778
