scale: 1e+06
unit: millions
baseunit: 1
var: Abundance
nboot: 500
seed: 1
bootstrapMethod: SweptAreaLength
acousticMethod: PSU~Stratum
bioticMethod: PSU~Stratum
"age"	"Ab.Sum.5%"	"Ab.Sum.50%"	"Ab.Sum.95%"	"Ab.Sum.mean"	"Ab.Sum.sd"	"Ab.Sum.cv"
NA	1066.32791051705	1203.59379361235	1354.44685067036	1204.88123971493	88.0413206362092	0.0730705381860201
1	26.49166896127	30.2797781889	34.26657069812	30.299950164955	2.33062784816563	0.0769185373400791
2	27.41276105463	32.51797921505	37.436802947165	32.5265304578696	2.96269690772238	0.0910855497348494
3	20.04688311078	22.7129213787	25.385863375775	22.695770533976	1.62863624326179	0.0717594602405627
4	10.795416747285	12.16944925315	13.44521334398	12.1466637943658	0.85501583983749	0.0703910023618244
5	15.350353652215	17.3542795552	19.89168946163	17.4837676185944	1.38781444496493	0.0793773101564766
6	18.826880007075	21.00100213195	22.9932335987	20.946500113599	1.29306317029142	0.0617317052146544
7	19.725041353185	21.99096588455	24.1521705313	21.9488002860798	1.36202766660551	0.0620547660397333
8	6.09324584121	6.9863474028	7.93831378177	6.9671585840862	0.540523551206296	0.0775816345620314
9	1.82658369076	2.3012969181	2.783880669155	2.2969761883514	0.286911322347396	0.124908270186867
10	0.54217866713	0.79868257675	1.06692942932	0.8000426514318	0.160954354163094	0.201182216816867
11	0.25097409358	0.4156803981	0.60775322943	0.420516423883	0.108760174670146	0.258634784501083
12	0.07766106169	0.17937903515	0.280642294775	0.1807651176522	0.0636278442617799	0.351991828336054
13	0.0290265327	0.1064543106	0.20825593988	0.108549817231	0.0562597418374086	0.518284998285025
14	0	0.0356403795	0.079312372665	0.0376990236088	0.024132174150478	0.640127298810064
15	0	0.0213743672	0.0540645759	0.0204841876752	0.0195352047470606	0.953672415856239
