scale: 1e+06
unit: millions
baseunit: 1
var: Abundance
nboot: 500
seed: 1
bootstrapMethod: SweptAreaLength
acousticMethod: PSU~Stratum
bioticMethod: PSU~Stratum
"age"	"Ab.Sum.5%"	"Ab.Sum.50%"	"Ab.Sum.95%"	"Ab.Sum.mean"	"Ab.Sum.sd"	"Ab.Sum.cv"
NA	958.656687626965	1098.09145416715	1234.9867924257	1096.73901662264	84.7835173808943	0.0773050982010117
1	28.168149206445	33.14422988905	38.72090402647	33.2457891281842	3.10410064872281	0.0933682348989965
2	16.023329507405	19.4347281998	23.1570705508	19.341855918257	2.14236994504579	0.110763411437864
3	16.37661160174	18.64456786065	20.786567508745	18.6435905888814	1.31266938649544	0.0704086147052748
4	15.72042802867	18.64682031105	21.328784851345	18.6428257733688	1.69419505352124	0.0908765159379107
5	8.484282327955	9.7345926829	11.098168050685	9.766885650465	0.826128131556782	0.0845846015937998
6	13.441832141155	15.99482583175	18.966316085125	16.0841940110166	1.66306642472102	0.103397560585375
7	21.57815385606	25.44583185755	29.67051553201	25.4917976811172	2.5041070319567	0.098231872984446
8	14.99250208885	16.8533965146	19.289402380275	16.9540861267982	1.33324965943153	0.0786388395965587
9	2.974357171575	4.2235727838	5.77161339664	4.2647646860838	0.830678645608129	0.194777134672562
10	1.19495120963	1.5565553797	2.02503716958	1.5731627196504	0.243107420562685	0.154534186149994
11	0.45273440875	0.70011215245	0.97107342053	0.707413554401	0.160196337337708	0.226453587637792
12	0.215078654485	0.4316924313	0.688043195875	0.4374100312624	0.145381180639954	0.332368190597669
13	0.097034210935	0.4156110143	0.8696807147	0.425357060984	0.230085692322452	0.540923646101427
14	0	0.0731395075	0.166272589129999	0.0731545886182	0.0548183303797857	0.749349171599983
15	0	0.0350514301	0.1051542902	0.0335091671688	0.0335450754813002	1.00107159668634
16	0	0.0180546659	0.0541639977	0.0176213539202	0.0176653505104345	1.00249677694652
