scale: 1e+06
unit: millions
baseunit: 1
var: Abundance
nboot: 500
seed: 1
bootstrapMethod: SweptAreaLength
acousticMethod: PSU~Stratum
bioticMethod: PSU~Stratum
"age"	"Ab.Sum.5%"	"Ab.Sum.50%"	"Ab.Sum.95%"	"Ab.Sum.mean"	"Ab.Sum.sd"	"Ab.Sum.cv"
NA	687.057579824655	815.45810049195	961.628627012785	817.361329466441	84.8450414583279	0.103803591385603
1	8.500250037835	12.24172638925	15.48147653162	11.9470512904104	2.32650918707304	0.194735012893137
2	12.024378727025	14.2096724556	16.85673294662	14.2724761501356	1.46766721569223	0.102831996372142
3	12.65688212472	14.24142149025	16.29376252049	14.3145465262352	1.13096299969116	0.0790079516398493
4	10.719856033905	11.63370756625	12.7252035562	11.662718489126	0.628532005055172	0.0538924098734954
5	11.694488501595	12.6176019683	13.76351941297	12.642998118155	0.635387898015033	0.0502561095142958
6	6.00452957429	6.562492364	7.255560222665	6.5786921960878	0.383759772134988	0.0583337479086195
7	1.754665641475	2.0744404183	2.41040290246	2.0761165743104	0.201581930990972	0.0970956705829146
8	1.000013948085	1.188702814	1.38799896431	1.1934021927678	0.119019822773249	0.0997315268017163
9	0.703803169635	0.88871817985	1.075763115075	0.8901017929268	0.112325682904909	0.126194199132623
10	0.147547343685	0.2330835726	0.32232979588	0.233200132494	0.0553455611126116	0.237330744715746
11	0	0.0688553828	0.14740957794	0.0732409634236	0.0417529620568845	0.570076636149637
12	0	0.0277671418	0.0555342836	0.027072963241	0.0177076960086631	0.65407306363295
13	0	0.0146046225	0.034962677545	0.0150753035582	0.0126288691319581	0.837719060395889
