scale: 1e+06
unit: millions
baseunit: 1
var: Abundance
nboot: 500
seed: 1
bootstrapMethod: SweptAreaLength
acousticMethod: PSU~Stratum
bioticMethod: PSU~Stratum
"age"	"Ab.Sum.5%"	"Ab.Sum.50%"	"Ab.Sum.95%"	"Ab.Sum.mean"	"Ab.Sum.sd"	"Ab.Sum.cv"
NA	0	0	0	6.22356074e-05	0.00139163048767389	22.3606797749979
1	544.04593621055	675.4113814196	803.52672946179	674.213340620772	80.6796128703878	0.119664812322021
2	229.909197665535	289.12296704985	350.65876631215	289.393727979864	37.4631302845472	0.129453843198543
3	89.098908919105	116.055377866	143.303502350125	116.488027911627	16.3191903793336	0.140093284021548
4	72.91776575453	113.41071276975	171.07813538025	115.382989053849	31.2031791301948	0.270431364155703
5	21.252029239495	28.2652445752	36.71830534161	28.323961925325	4.82186643219137	0.170239828908965
6	34.758666230185	42.7974912636	53.50300050225	43.4186273301292	5.54504954507124	0.127711304710534
7	9.294603805885	13.9615433894	18.256593393675	13.7211159216908	2.81720892555704	0.205319227797172
8	4.206367947285	5.24309164555	6.317723040995	5.2400322718448	0.645710094319084	0.123226358316254
9	0.98950984595	1.37326858825	1.716584836725	1.363917913552	0.230227930456462	0.168798963756468
10	0.152190156165	0.22803293355	0.351558152905	0.23522094745	0.0625782731976363	0.266040392558738
11	0.0325316545	0.1945139564	0.33374966054	0.1818374212588	0.0995845268779877	0.54765694645578
12	0.0165238062	0.2005940799	0.355144367855	0.1811906237734	0.11340368896411	0.625880559393265
