scale: 1e+06
unit: millions
baseunit: 1
var: Abundance
nboot: 500
seed: 1
bootstrapMethod: SweptAreaLength
acousticMethod: PSU~Stratum
bioticMethod: PSU~Stratum
"age"	"Ab.Sum.5%"	"Ab.Sum.50%"	"Ab.Sum.95%"	"Ab.Sum.mean"	"Ab.Sum.sd"	"Ab.Sum.cv"
0	0	0.6937710294	1.32739144102	0.6532581755596	0.420226732738585	0.643278183818528
1	350.85985961713	400.52348297035	458.985182959125	401.906886234241	33.5431993591834	0.0834601259845884
2	48.72119607472	57.6118690619	67.08649908383	57.769045134791	5.46012814477371	0.094516503294
3	84.110061552875	97.4873975746	111.693889029515	97.4300225884058	8.68008014027887	0.0890904046789352
4	29.12469252526	34.08190103545	40.380240325065	34.2169632955244	3.40462251348564	0.0995010131109726
5	33.2902202759	43.65613816665	55.096041296015	43.856352138212	7.08044576272114	0.161446299509985
6	42.5716951205	51.3334751594	62.359630316975	51.9612341302724	6.04081345448964	0.116256158184093
7	19.30776569123	25.81854555795	32.967625643785	25.8897063512138	4.30858814750727	0.166420896747841
8	12.07439137528	16.7592609356	22.594086676965	17.0384747196544	3.27074794119226	0.191962484612508
9	5.503428831995	6.8026846914	8.404477752235	6.8879344612972	0.900433343581477	0.130726177585014
10	1.936893662255	3.0461404643	4.093489558865	3.0355561674742	0.664906753361522	0.219039515883764
11	1.315164506695	2.03036758785	2.77300236928	2.0431233033836	0.454506616951145	0.222456773019249
12	1.471849598225	2.61949825245	3.89185275238	2.649092537902	0.758179639688148	0.286203531526537
13	0.157763361355	0.4648348086	0.80887825553	0.470558176614	0.212290189659599	0.451145469806044
14	0.11152507092	0.20797944665	0.31297647165	0.205687107478	0.0630583924134704	0.306574355518199
15	0	0.0225280244	0.0675840732	0.0216719594728	0.021112889300754	0.974203063052619
16	0	0.0364748615	0.1094245846	0.0361101129124	0.0360317673152058	0.997830369642313
